1739917862.4572,2025-02-18 14:31:02.457,4,100,1.0,100,4,4,4,4,4
1739917862.9259,2025-02-18 14:31:02.925,4,100,1.0,100,4,4,4,4,4
1739917863.4572,2025-02-18 14:31:03.457,4,100,1.0,100,4,4,4,4,4
1739917863.9572,2025-02-18 14:31:03.957,4,100,1.0,100,4,4,4,4,4
1739917864.4572,2025-02-18 14:31:04.457,4,100,1.0,100,4,4,4,4,4
1739917864.9572,2025-02-18 14:31:04.957,4,100,1.0,100,4,4,4,4,4
1739917865.4572,2025-02-18 14:31:05.457,4,100,1.0,100,4,4,4,4,4
1739917865.9572,2025-02-18 14:31:05.957,4,100,1.0,100,4,4,4,4,4
1739917866.4572,2025-02-18 14:31:06.457,4,100,1.0,100,4,4,4,4,4
1739917866.9572,2025-02-18 14:31:06.957,4,100,1.0,100,4,4,4,4,4
1739917867.4572,2025-02-18 14:31:07.457,4,100,1.0,100,4,4,4,4,4
1739917867.9572,2025-02-18 14:31:07.957,4,100,1.0,100,4,4,4,4,4
1739917868.4572,2025-02-18 14:31:08.457,4,100,1.0,100,4,4,4,4,4
1739917868.9572,2025-02-18 14:31:08.957,4,100,1.0,100,4,4,4,4,4
1739917869.4572,2025-02-18 14:31:09.457,4,100,1.0,100,4,4,4,4,4
1739917869.9572,2025-02-18 14:31:09.957,4,100,1.0,100,4,4,4,4,4
1739917870.4572,2025-02-18 14:31:10.457,4,100,1.0,100,4,4,4,4,4
1739917870.9572,2025-02-18 14:31:10.957,4,100,1.0,100,4,4,4,4,4
1739917871.4572,2025-02-18 14:31:11.457,4,100,1.0,100,4,4,4,4,4
1739917871.9338,2025-02-18 14:31:11.933,4,100,1.0,100,4,4,4,4,4
1739917872.4572,2025-02-18 14:31:12.457,4,100,1.0,100,4,4,4,4,4
1739917872.9572,2025-02-18 14:31:12.957,4,100,1.0,100,4,4,4,4,4
1739917873.4572,2025-02-18 14:31:13.457,4,100,1.0,100,4,4,4,4,4
1739917873.9572,2025-02-18 14:31:13.957,4,100,1.0,100,4,4,4,4,4
1739917874.4572,2025-02-18 14:31:14.457,4,100,1.0,100,4,4,4,4,4
1739917874.9572,2025-02-18 14:31:14.957,4,100,1.0,100,4,4,4,4,4
1739917875.4572,2025-02-18 14:31:15.457,4,100,1.0,100,4,4,4,4,4
1739917875.9572,2025-02-18 14:31:15.957,4,100,1.0,100,4,4,4,4,4
1739917876.4572,2025-02-18 14:31:16.457,4,100,1.0,100,4,4,4,4,4
1739917876.9572,2025-02-18 14:31:16.957,4,100,1.0,100,4,4,4,4,4
1739917877.4572,2025-02-18 14:31:17.457,4,100,1.0,100,4,4,4,4,4
1739917877.9572,2025-02-18 14:31:17.957,4,100,1.0,100,4,4,4,4,4
1739917878.4572,2025-02-18 14:31:18.457,4,100,1.0,100,4,4,4,4,4
1739917878.9572,2025-02-18 14:31:18.957,4,100,1.0,100,4,4,4,4,4
1739917879.4572,2025-02-18 14:31:19.457,4,100,1.0,100,4,4,4,4,4
1739917879.9572,2025-02-18 14:31:19.957,4,100,1.0,100,4,4,4,4,4
1739917880.4572,2025-02-18 14:31:20.457,4,100,1.0,100,4,4,4,4,4
1739917880.9572,2025-02-18 14:31:20.957,4,100,1.0,100,4,4,4,4,4
1739917881.4572,2025-02-18 14:31:21.457,4,100,1.0,100,4,4,4,4,4
1739917881.9572,2025-02-18 14:31:21.957,4,100,1.0,100,4,4,4,4,4
1739917882.4572,2025-02-18 14:31:22.457,4,100,1.0,100,4,4,4,4,4
1739917882.9572,2025-02-18 14:31:22.957,4,100,1.0,100,4,4,4,4,4
1739917883.4572,2025-02-18 14:31:23.457,4,100,1.0,100,4,4,4,4,4
1739917883.9572,2025-02-18 14:31:23.957,4,100,1.0,100,4,4,4,4,4
1739917884.4572,2025-02-18 14:31:24.457,4,100,1.0,100,4,4,4,4,4
1739917884.9572,2025-02-18 14:31:24.957,4,100,1.0,100,4,4,4,4,4
1739917885.4572,2025-02-18 14:31:25.457,4,100,1.0,100,4,4,4,4,4
1739917885.9572,2025-02-18 14:31:25.957,4,100,1.0,100,4,4,4,4,4
1739917886.4572,2025-02-18 14:31:26.457,4,100,1.0,100,4,4,4,4,4
1739917886.9572,2025-02-18 14:31:26.957,4,100,1.0,100,4,4,4,4,4
1739917887.4572,2025-02-18 14:31:27.457,4,100,1.0,100,4,4,4,4,4
1739917887.9572,2025-02-18 14:31:27.957,4,100,1.0,100,4,4,4,4,4
1739917888.4572,2025-02-18 14:31:28.457,4,100,1.0,100,4,4,4,4,4
1739917888.9572,2025-02-18 14:31:28.957,4,100,1.0,100,4,4,4,4,4
1739917889.4572,2025-02-18 14:31:29.457,4,100,1.0,100,4,4,4,4,4
1739917889.9572,2025-02-18 14:31:29.957,4,100,1.0,100,4,4,4,4,4
1739917890.4572,2025-02-18 14:31:30.457,4,100,1.0,100,4,4,4,4,4
1739917890.9572,2025-02-18 14:31:30.957,4,100,1.0,100,4,4,4,4,4
1739917891.4572,2025-02-18 14:31:31.457,4,100,1.0,100,4,4,4,4,4
1739917891.9572,2025-02-18 14:31:31.957,4,100,1.0,100,4,4,4,4,4
1739917892.4572,2025-02-18 14:31:32.457,4,100,1.0,100,4,4,4,4,4
1739917892.9572,2025-02-18 14:31:32.957,4,100,1.0,100,4,4,4,4,4
1739917893.4572,2025-02-18 14:31:33.457,4,100,1.0,100,4,4,4,4,4
1739917893.9572,2025-02-18 14:31:33.957,4,100,1.0,100,4,4,4,4,4
1739917894.4416,2025-02-18 14:31:34.441,4,100,1.0,100,4,4,4,4,4
1739917894.9572,2025-02-18 14:31:34.957,4,100,1.0,100,4,4,4,4,4
1739917895.4494,2025-02-18 14:31:35.449,4,100,1.0,100,4,4,4,4,4
1739917895.9338,2025-02-18 14:31:35.933,4,100,1.0,100,4,4,4,4,4
1739917896.4338,2025-02-18 14:31:36.433,4,100,1.0,100,4,4,4,4,4
1739917896.9338,2025-02-18 14:31:36.933,4,100,1.0,100,4,4,4,4,4
1739917897.4338,2025-02-18 14:31:37.433,4,100,1.0,100,4,4,4,4,4
1739917897.9338,2025-02-18 14:31:37.933,4,100,1.0,100,4,4,4,4,4
1739917898.4338,2025-02-18 14:31:38.433,4,100,1.0,100,4,4,4,4,4
1739917898.9338,2025-02-18 14:31:38.933,4,100,1.0,100,4,4,4,4,4
1739917899.4338,2025-02-18 14:31:39.433,4,100,1.0,100,4,4,4,4,4
1739917899.9338,2025-02-18 14:31:39.933,4,100,1.0,100,4,4,4,4,4
1739917900.4338,2025-02-18 14:31:40.433,4,100,1.0,100,4,4,4,4,4
1739917900.9338,2025-02-18 14:31:40.933,4,100,1.0,100,4,4,4,4,4
1739917901.4338,2025-02-18 14:31:41.433,4,100,1.0,100,4,4,4,4,4
1739917901.9338,2025-02-18 14:31:41.933,4,100,1.0,100,4,4,4,4,4
1739917902.4338,2025-02-18 14:31:42.433,4,100,1.0,100,4,4,4,4,4
1739917902.9338,2025-02-18 14:31:42.933,4,100,1.0,100,4,4,4,4,4
