1739917862.4259,2025-02-18 14:31:02.425,0.91,-0.22,0.35
1739917862.9259,2025-02-18 14:31:02.925,0.91,-0.22,0.35
1739917863.4259,2025-02-18 14:31:03.425,0.91,-0.22,0.35
1739917863.9259,2025-02-18 14:31:03.925,0.91,-0.22,0.35
1739917864.4259,2025-02-18 14:31:04.425,0.91,-0.22,0.35
1739917864.9259,2025-02-18 14:31:04.925,0.91,-0.22,0.35
1739917865.4259,2025-02-18 14:31:05.425,0.91,-0.22,0.35
1739917865.9259,2025-02-18 14:31:05.925,0.91,-0.22,0.35
1739917866.4259,2025-02-18 14:31:06.425,0.91,-0.22,0.35
1739917866.9259,2025-02-18 14:31:06.925,0.91,-0.22,0.35
1739917867.4259,2025-02-18 14:31:07.425,0.91,-0.22,0.35
1739917867.9259,2025-02-18 14:31:07.925,0.91,-0.22,0.35
1739917868.4259,2025-02-18 14:31:08.425,0.87,-0.22,0.44
1739917868.9259,2025-02-18 14:31:08.925,0.87,-0.22,0.44
1739917869.4259,2025-02-18 14:31:09.425,0.91,0.42,0.03
1739917869.9259,2025-02-18 14:31:09.925,0.91,0.42,0.03
1739917870.4259,2025-02-18 14:31:10.425,0.91,0.42,0.03
1739917870.9259,2025-02-18 14:31:10.925,0.91,0.42,0.03
1739917871.4259,2025-02-18 14:31:11.425,0.96,0.20,0.17
1739917871.9259,2025-02-18 14:31:11.925,0.94,0.32,0.08
1739917872.4259,2025-02-18 14:31:12.425,0.94,0.32,0.08
1739917872.9259,2025-02-18 14:31:12.925,0.94,0.32,0.08
1739917873.4259,2025-02-18 14:31:13.425,0.95,0.21,-0.21
1739917873.9259,2025-02-18 14:31:13.925,0.95,0.21,-0.21
1739917874.4259,2025-02-18 14:31:14.425,0.99,0.10,-0.10
1739917874.9259,2025-02-18 14:31:14.925,0.99,0.10,-0.10
1739917875.4259,2025-02-18 14:31:15.425,0.99,0.10,-0.10
1739917875.9259,2025-02-18 14:31:15.925,0.96,0.20,0.17
1739917876.4259,2025-02-18 14:31:16.425,0.96,0.20,0.17
1739917876.9259,2025-02-18 14:31:16.925,0.91,0.42,0.03
1739917877.4259,2025-02-18 14:31:17.425,0.91,0.42,0.03
1739917877.9259,2025-02-18 14:31:17.925,0.87,-0.22,0.44
1739917878.4259,2025-02-18 14:31:18.425,0.87,-0.22,0.44
1739917878.9259,2025-02-18 14:31:18.925,0.91,-0.22,0.35
1739917879.4259,2025-02-18 14:31:19.425,0.91,-0.22,0.35
1739917879.9259,2025-02-18 14:31:19.925,0.91,-0.22,0.35
1739917880.4259,2025-02-18 14:31:20.425,0.90,-0.20,0.38
1739917880.9259,2025-02-18 14:31:20.925,0.89,-0.27,0.37
1739917881.4259,2025-02-18 14:31:21.425,0.89,-0.27,0.37
1739917881.9259,2025-02-18 14:31:21.925,0.89,-0.27,0.37
1739917882.4259,2025-02-18 14:31:22.425,0.89,-0.27,0.37
1739917882.9259,2025-02-18 14:31:22.925,0.89,-0.27,0.37
1739917883.4259,2025-02-18 14:31:23.425,0.89,-0.27,0.37
1739917883.9259,2025-02-18 14:31:23.925,0.92,-0.17,0.34
1739917884.4259,2025-02-18 14:31:24.425,0.92,-0.17,0.34
