1739917861.8556,2025-02-18 14:31:01.855,124,false,0.0,4240.385,4364.872,4091.026,4183.974,4264.487
1739917861.8634,2025-02-18 14:31:01.863,125,false,0.0,4226.667,4332.692,4087.179,4182.82,4257.18
1739917861.8713,2025-02-18 14:31:01.871,126,false,0.0,4228.846,4311.026,4081.41,4181.923,4244.359
1739917861.8791,2025-02-18 14:31:01.879,127,false,0.0,4240.385,4336.41,4081.795,4180.128,4247.051
1739917861.8869,2025-02-18 14:31:01.886,0,false,0.0,4256.795,4364.359,4103.333,4199.359,4273.846
1739917861.8947,2025-02-18 14:31:01.894,1,false,0.0,4263.461,4349.359,4115.513,4211.795,4286.282
1739917861.9025,2025-02-18 14:31:01.902,2,false,0.0,4249.359,4320.769,4095.897,4196.154,4267.82
1739917861.9103,2025-02-18 14:31:01.910,3,false,0.0,4239.359,4323.846,4087.179,4189.487,4253.718
1739917861.9181,2025-02-18 14:31:01.918,4,false,0.0,4243.205,4351.539,4102.051,4195.0,4257.18
1739917861.9259,2025-02-18 14:31:01.925,5,false,0.0,4236.154,4359.615,4098.59,4183.59,4253.974
1739917861.9338,2025-02-18 14:31:01.933,6,false,0.0,4220.513,4336.667,4084.359,4169.744,4236.923
1739917861.9416,2025-02-18 14:31:01.941,7,false,0.0,4220.128,4331.795,4091.026,4173.846,4229.231
1739917861.9494,2025-02-18 14:31:01.949,8,false,0.0,4232.436,4357.18,4101.154,4180.769,4243.718
1739917861.9572,2025-02-18 14:31:01.957,9,false,0.0,4239.872,4356.282,4099.231,4177.308,4257.949
1739917861.965,2025-02-18 14:31:01.965,10,false,0.0,4239.359,4330.385,4097.564,4172.308,4255.385
1739917861.9728,2025-02-18 14:31:01.972,11,false,0.0,4235.641,4329.231,4093.461,4176.667,4247.692
1739917861.9806,2025-02-18 14:31:01.980,12,false,0.0,4233.718,4342.692,4087.051,4186.282,4245.385
1739917861.9884,2025-02-18 14:31:01.988,13,false,0.0,4242.692,4357.051,4093.205,4191.667,4255.128
1739917861.9963,2025-02-18 14:31:01.996,14,false,0.0,4251.795,4373.846,4097.949,4188.718,4272.692
1739917862.0041,2025-02-18 14:31:02.004,15,false,0.0,4235.128,4355.256,4081.923,4171.154,4265.128
1739917862.0119,2025-02-18 14:31:02.011,16,false,0.0,4211.026,4321.154,4068.333,4151.026,4235.769
1739917862.0197,2025-02-18 14:31:02.019,17,false,0.0,4212.436,4331.282,4072.692,4153.846,4228.461
1739917862.0275,2025-02-18 14:31:02.027,18,false,0.0,4220.641,4343.333,4077.051,4171.41,4237.692
1739917862.0353,2025-02-18 14:31:02.035,19,false,0.0,4229.103,4335.385,4087.308,4186.026,4247.18
1739917862.0431,2025-02-18 14:31:02.043,20,false,0.0,4258.333,4364.359,4113.077,4199.487,4274.231
1739917862.0509,2025-02-18 14:31:02.050,21,false,0.0,4271.667,4387.949,4121.282,4198.205,4290.256
1739917862.0588,2025-02-18 14:31:02.058,22,false,0.0,4244.615,4356.282,4103.333,4179.872,4271.795
1739917862.0666,2025-02-18 14:31:02.066,23,false,0.0,4230.641,4340.128,4095.128,4178.461,4266.795
1739917862.0744,2025-02-18 14:31:02.074,24,false,0.0,4243.846,4352.308,4101.026,4193.205,4281.282
1739917862.0822,2025-02-18 14:31:02.082,25,false,0.0,4250.256,4350.769,4108.974,4200.256,4281.154
1739917862.09,2025-02-18 14:31:02.090,26,false,0.0,4255.513,4366.923,4124.744,4208.333,4285.0
1739917862.0978,2025-02-18 14:31:02.097,27,false,0.0,4258.718,4385.0,4131.539,4211.667,4290.897
1739917862.1056,2025-02-18 14:31:02.105,28,false,0.0,4242.692,4357.949,4117.308,4194.359,4269.872
1739917862.1134,2025-02-18 14:31:02.113,29,false,0.0,4231.282,4341.41,4109.615,4183.461,4255.513
1739917862.1213,2025-02-18 14:31:02.121,30,false,0.0,4236.154,4356.41,4111.282,4192.949,4266.923
1739917862.1291,2025-02-18 14:31:02.129,31,false,0.0,4240.385,4350.128,4104.744,4197.308,4268.59
1739917862.1369,2025-02-18 14:31:02.136,32,false,0.0,4249.615,4346.026,4105.385,4193.333,4268.974
1739917862.1447,2025-02-18 14:31:02.144,33,false,0.0,4260.769,4365.641,4115.128,4192.82,4283.205
1739917862.1525,2025-02-18 14:31:02.152,34,false,0.0,4256.539,4364.487,4109.744,4187.82,4280.769
1739917862.1603,2025-02-18 14:31:02.160,35,false,0.0,4253.461,4350.256,4103.205,4179.231,4271.026
1739917862.1681,2025-02-18 14:31:02.168,36,false,0.0,4261.154,4347.82,4113.333,4180.256,4282.051
1739917862.1759,2025-02-18 14:31:02.175,37,false,0.0,4259.744,4342.949,4118.59,4189.744,4284.744
1739917862.1838,2025-02-18 14:31:02.183,38,false,0.0,4251.795,4347.692,4115.513,4193.846,4266.667
