timestamp,time,actionEye,actionUperFace,powerUpperFace,actionLowerFace,powerLowerFace
1739917865,31:05.4,neutral,frown,0.95,clench,0.8
1739917865,31:05.4,neutral,frown,0.95,clench,0.8
1739917865,31:05.4,neutral,frown,0.95,clench,0.8
1739917865,31:05.5,neutral,frown,0.95,clench,0.8
1739917865,31:05.5,neutral,frown,0.95,clench,0.8
1739917866,31:05.5,neutral,frown,0.95,clench,0.8
1739917866,31:05.5,neutral,frown,0.95,clench,0.8
1739917866,31:05.6,neutral,frown,0.95,clench,0.8
1739917866,31:05.6,neutral,frown,0.95,clench,0.8
1739917866,31:05.6,neutral,frown,0.95,clench,0.8
1739917866,31:05.7,neutral,frown,0.95,clench,0.8
1739917866,31:05.7,neutral,frown,0.95,clench,0.8
1739917866,31:05.7,neutral,frown,0.95,clench,0.8
1739917866,31:05.8,neutral,frown,0.95,clench,0.8
1739917866,31:05.8,neutral,frown,0.95,clench,0.8
1739917866,31:05.8,neutral,frown,0.95,clench,0.8
1739917866,31:05.9,neutral,frown,0.95,clench,0.8
1739917866,31:05.9,neutral,frown,0.95,clench,0.8
1739917866,31:05.9,neutral,frown,0.95,clench,0.8
1739917866,31:06.0,neutral,frown,0.95,clench,0.8
1739917866,31:06.0,neutral,frown,0.95,clench,0.8
1739917866,31:06.0,neutral,frown,0.95,clench,0.8
1739917866,31:06.0,neutral,frown,0.95,clench,0.8
1739917866,31:06.1,neutral,frown,0.95,clench,0.8
1739917866,31:06.1,neutral,frown,0.95,clench,0.8
1739917866,31:06.1,neutral,frown,0.95,clench,0.8
1739917866,31:06.2,neutral,frown,0.95,clench,0.8
1739917866,31:06.2,neutral,frown,0.95,clench,0.8
1739917866,31:06.2,neutral,frown,0.95,clench,0.8
1739917866,31:06.3,neutral,frown,0.95,clench,0.8
1739917866,31:06.3,neutral,frown,0.95,clench,0.8
1739917866,31:06.3,neutral,frown,0.95,clench,0.8
1739917866,31:06.4,neutral,frown,0.95,clench,0.8
1739917866,31:06.4,neutral,frown,0.95,clench,0.8
1739917866,31:06.4,neutral,frown,0.95,clench,0.8
1739917866,31:06.5,neutral,frown,0.95,clench,0.8
1739917866,31:06.5,neutral,frown,0.95,clench,0.8
1739917867,31:06.5,neutral,frown,0.95,clench,0.8
1739917867,31:06.6,neutral,frown,0.95,clench,0.8
1739917867,31:06.6,neutral,frown,0.95,clench,0.8
1739917867,31:06.6,neutral,frown,0.95,clench,0.8
1739917867,31:06.6,neutral,frown,0.95,clench,0.8
1739917867,31:06.7,neutral,frown,0.95,clench,0.8
1739917867,31:06.7,neutral,frown,0.95,clench,0.8
1739917867,31:06.7,neutral,frown,0.95,clench,0.8
1739917867,31:06.8,neutral,frown,0.95,clench,0.8
1739917867,31:06.8,neutral,frown,0.95,clench,0.8
1739917867,31:06.8,neutral,frown,0.95,clench,0.8
1739917867,31:06.9,neutral,frown,0.95,clench,0.8
1739917867,31:06.9,neutral,frown,0.95,clench,0.8
1739917867,31:06.9,neutral,frown,0.95,clench,0.8
1739917867,31:07.0,neutral,frown,0.95,clench,0.8
1739917867,31:07.0,neutral,frown,0.95,clench,0.8
1739917867,31:07.0,neutral,frown,0.95,clench,0.8
1739917867,31:07.0,neutral,frown,0.95,clench,0.8
1739917867,31:07.1,neutral,frown,0.95,clench,0.8
1739917867,31:07.1,neutral,frown,0.95,clench,0.8
1739917867,31:07.1,neutral,frown,0.95,clench,0.8
1739917867,31:07.2,neutral,frown,0.95,clench,0.8
1739917867,31:07.2,neutral,frown,0.95,clench,0.8
1739917867,31:07.2,neutral,frown,0.95,clench,0.8
1739917867,31:07.3,neutral,frown,0.95,clench,0.8
1739917867,31:07.3,neutral,frown,0.95,clench,0.8
1739917867,31:07.3,neutral,frown,0.95,clench,0.8
1739917867,31:07.4,neutral,frown,0.95,clench,0.8
1739917867,31:07.4,neutral,frown,0.95,clench,0.8
1739917867,31:07.4,neutral,frown,0.95,clench,0.8
1739917867,31:07.5,neutral,frown,0.95,clench,0.8
1739917867,31:07.5,neutral,frown,0.95,clench,0.8
1739917868,31:07.5,neutral,frown,0.95,clench,0.8
1739917868,31:07.5,neutral,frown,0.95,clench,0.8
1739917868,31:07.6,neutral,frown,0.95,clench,0.8
1739917868,31:07.6,neutral,frown,0.95,clench,0.8
1739917868,31:07.6,neutral,frown,0.95,clench,0.8
1739917868,31:07.7,neutral,frown,0.95,clench,0.8
1739917868,31:07.7,neutral,frown,0.95,clench,0.8
1739917868,31:07.7,neutral,frown,0.95,clench,0.8
