1739917219.4996,2025-02-18 14:20:19.499,0.58,-0.58,0.58
1739917219.9996,2025-02-18 14:20:19.999,0.58,-0.58,0.58
1739917220.4996,2025-02-18 14:20:20.499,0.58,-0.58,0.58
1739917220.9996,2025-02-18 14:20:20.999,0.58,-0.58,0.58
1739917221.4996,2025-02-18 14:20:21.499,0.58,-0.58,0.58
1739917221.9996,2025-02-18 14:20:21.999,0.58,-0.58,0.58
1739917222.4996,2025-02-18 14:20:22.499,0.58,-0.58,0.58
1739917222.9996,2025-02-18 14:20:22.999,0.58,-0.58,0.58
1739917223.4996,2025-02-18 14:20:23.499,0.58,-0.58,0.58
1739917223.9996,2025-02-18 14:20:23.999,0.58,-0.58,0.58
1739917224.4996,2025-02-18 14:20:24.499,0.58,-0.58,0.58
1739917224.9996,2025-02-18 14:20:24.999,0.58,-0.58,0.58
1739917225.4996,2025-02-18 14:20:25.499,0.58,-0.58,0.58
1739917225.9996,2025-02-18 14:20:25.999,0.58,-0.58,0.58
1739917226.4996,2025-02-18 14:20:26.499,0.58,-0.58,0.58
1739917226.9996,2025-02-18 14:20:26.999,0.58,-0.58,0.58
1739917227.4996,2025-02-18 14:20:27.499,0.58,-0.58,0.58
1739917227.9996,2025-02-18 14:20:27.999,0.58,-0.58,0.58
1739917228.4996,2025-02-18 14:20:28.499,0.58,-0.58,0.58
1739917228.9996,2025-02-18 14:20:28.999,0.58,-0.58,0.58
1739917229.4996,2025-02-18 14:20:29.499,0.58,-0.58,0.58
1739917229.9996,2025-02-18 14:20:29.999,0.58,-0.58,0.58
1739917230.4996,2025-02-18 14:20:30.499,0.58,-0.58,0.58
1739917230.9996,2025-02-18 14:20:30.999,0.58,-0.58,0.58
1739917231.4996,2025-02-18 14:20:31.499,0.58,-0.58,0.58
1739917231.9996,2025-02-18 14:20:31.999,0.58,-0.58,0.58
1739917232.4996,2025-02-18 14:20:32.499,0.58,-0.58,0.58
1739917232.9996,2025-02-18 14:20:32.999,0.58,-0.58,0.58
1739917233.4996,2025-02-18 14:20:33.499,0.58,-0.58,0.58
1739917233.9996,2025-02-18 14:20:33.999,0.58,-0.58,0.58
1739917234.4996,2025-02-18 14:20:34.499,0.58,-0.58,0.58
1739917234.9996,2025-02-18 14:20:34.999,0.58,-0.58,0.58
1739917235.4996,2025-02-18 14:20:35.499,0.58,-0.58,0.58
1739917235.9996,2025-02-18 14:20:35.999,0.58,-0.58,0.58
1739917236.4996,2025-02-18 14:20:36.499,0.58,-0.58,0.58
1739917236.9996,2025-02-18 14:20:36.999,0.58,-0.58,0.58
1739917237.4996,2025-02-18 14:20:37.499,0.58,-0.58,0.58
1739917237.9996,2025-02-18 14:20:37.999,0.58,-0.58,0.58
1739917238.4996,2025-02-18 14:20:38.499,0.58,-0.58,0.58
1739917238.9996,2025-02-18 14:20:38.999,0.58,-0.58,0.58
1739917239.4996,2025-02-18 14:20:39.499,0.58,-0.58,0.58
1739917239.9996,2025-02-18 14:20:39.999,0.58,-0.58,0.58
1739917240.4996,2025-02-18 14:20:40.499,0.58,-0.58,0.58
1739917240.9996,2025-02-18 14:20:40.999,0.58,-0.58,0.58
1739917241.4996,2025-02-18 14:20:41.499,0.58,-0.58,0.58
1739917241.9996,2025-02-18 14:20:41.999,0.58,-0.58,0.58
1739917242.4996,2025-02-18 14:20:42.499,0.58,-0.58,0.58
1739917242.9996,2025-02-18 14:20:42.999,0.58,-0.58,0.58
1739917243.4996,2025-02-18 14:20:43.499,0.58,-0.58,0.58
1739917243.9996,2025-02-18 14:20:43.999,0.58,-0.58,0.58
1739917244.4996,2025-02-18 14:20:44.499,0.58,-0.58,0.58
1739917244.9996,2025-02-18 14:20:44.999,0.58,-0.58,0.58
1739917245.4996,2025-02-18 14:20:45.499,0.58,-0.58,0.58
1739917245.9996,2025-02-18 14:20:45.999,0.58,-0.58,0.58
1739917246.4996,2025-02-18 14:20:46.499,0.58,-0.58,0.58
1739917246.9996,2025-02-18 14:20:46.999,0.58,-0.58,0.58
1739917247.4996,2025-02-18 14:20:47.499,0.58,-0.58,0.58
1739917247.9996,2025-02-18 14:20:47.999,0.58,-0.58,0.58
1739917248.4996,2025-02-18 14:20:48.499,0.58,-0.58,0.58
1739917248.9996,2025-02-18 14:20:48.999,0.58,-0.58,0.58
1739917249.4996,2025-02-18 14:20:49.499,0.58,-0.58,0.58
1739917249.9996,2025-02-18 14:20:49.999,0.58,-0.58,0.58
1739917250.4996,2025-02-18 14:20:50.499,0.58,-0.58,0.58
1739917250.9996,2025-02-18 14:20:50.999,0.58,-0.58,0.58
1739917251.4996,2025-02-18 14:20:51.499,0.58,-0.58,0.58
1739917251.9996,2025-02-18 14:20:51.999,0.58,-0.58,0.58
1739917252.4996,2025-02-18 14:20:52.499,0.58,-0.58,0.58
1739917252.9996,2025-02-18 14:20:52.999,0.58,-0.58,0.58
1739917253.4996,2025-02-18 14:20:53.499,0.58,-0.58,0.58
1739917253.9996,2025-02-18 14:20:53.999,0.58,-0.58,0.58
1739917254.4996,2025-02-18 14:20:54.499,0.58,-0.58,0.58
1739917254.9996,2025-02-18 14:20:54.999,0.58,-0.58,0.58
1739917255.4996,2025-02-18 14:20:55.499,-0.58,0.58,-0.58
1739917255.9996,2025-02-18 14:20:55.999,-0.58,0.58,-0.58
1739917256.4996,2025-02-18 14:20:56.499,-0.58,0.58,-0.58
1739917256.9996,2025-02-18 14:20:56.999,-0.58,0.58,-0.58
1739917257.4996,2025-02-18 14:20:57.499,-0.58,0.58,-0.58
1739917257.9996,2025-02-18 14:20:57.999,-0.58,0.58,-0.58
1739917258.4996,2025-02-18 14:20:58.499,-0.58,0.58,-0.58
1739917258.9996,2025-02-18 14:20:58.999,-0.58,0.58,-0.58
1739917259.4996,2025-02-18 14:20:59.499,-0.58,0.58,-0.58
1739917259.9996,2025-02-18 14:20:59.999,-0.58,0.58,-0.58
1739917260.4996,2025-02-18 14:21:00.499,-0.58,0.58,-0.58
1739917260.9996,2025-02-18 14:21:00.999,-0.58,0.58,-0.58
1739917261.4996,2025-02-18 14:21:01.499,-0.58,0.58,-0.58
1739917261.9996,2025-02-18 14:21:01.999,-0.58,0.58,-0.58
1739917262.4996,2025-02-18 14:21:02.499,-0.58,0.58,-0.58
1739917262.9996,2025-02-18 14:21:02.999,-0.58,0.58,-0.58
1739917263.4996,2025-02-18 14:21:03.499,-0.58,0.58,-0.58
1739917263.9996,2025-02-18 14:21:03.999,-0.58,0.58,-0.58
