1739917219.4996,2025-02-18 14:20:19.499,4,100,1.0,100,4,4
1739917220.0152,2025-02-18 14:20:20.015,4,100,1.0,100,4,4
1739917220.5074,2025-02-18 14:20:20.507,4,100,1.0,100,4,4
1739917221.0074,2025-02-18 14:20:21.007,4,100,1.0,100,4,4
1739917221.5074,2025-02-18 14:20:21.507,4,100,1.0,100,4,4
1739917222.0074,2025-02-18 14:20:22.007,4,100,1.0,100,4,4
1739917222.5074,2025-02-18 14:20:22.507,4,100,1.0,100,4,4
1739917223.0074,2025-02-18 14:20:23.007,4,100,1.0,100,4,4
1739917223.5074,2025-02-18 14:20:23.507,4,100,1.0,100,4,4
1739917224.0074,2025-02-18 14:20:24.007,4,100,1.0,100,4,4
1739917224.5074,2025-02-18 14:20:24.507,4,100,1.0,100,4,4
1739917225.0074,2025-02-18 14:20:25.007,4,100,1.0,100,4,4
1739917225.5074,2025-02-18 14:20:25.507,4,100,1.0,100,4,4
1739917226.0074,2025-02-18 14:20:26.007,4,100,1.0,100,4,4
1739917226.5074,2025-02-18 14:20:26.507,4,100,1.0,100,4,4
1739917227.0074,2025-02-18 14:20:27.007,4,100,1.0,100,4,4
1739917227.5074,2025-02-18 14:20:27.507,4,100,1.0,100,4,4
1739917228.0074,2025-02-18 14:20:28.007,4,100,1.0,100,4,4
1739917228.5074,2025-02-18 14:20:28.507,4,100,1.0,100,4,4
1739917229.0074,2025-02-18 14:20:29.007,4,100,1.0,100,4,4
1739917229.5074,2025-02-18 14:20:29.507,4,100,1.0,100,4,4
1739917230.0074,2025-02-18 14:20:30.007,4,100,1.0,100,4,4
1739917230.5074,2025-02-18 14:20:30.507,4,100,1.0,100,4,4
1739917231.0074,2025-02-18 14:20:31.007,4,100,1.0,100,4,4
1739917231.5074,2025-02-18 14:20:31.507,4,100,1.0,100,4,4
1739917232.0074,2025-02-18 14:20:32.007,4,100,1.0,100,4,4
1739917232.5074,2025-02-18 14:20:32.507,4,100,1.0,100,4,4
1739917233.0074,2025-02-18 14:20:33.007,4,100,1.0,100,4,4
1739917233.5074,2025-02-18 14:20:33.507,4,100,1.0,100,4,4
1739917234.0074,2025-02-18 14:20:34.007,4,100,1.0,100,4,4
1739917234.5074,2025-02-18 14:20:34.507,4,100,1.0,100,4,4
1739917235.0074,2025-02-18 14:20:35.007,4,100,1.0,100,4,4
1739917235.5074,2025-02-18 14:20:35.507,4,100,1.0,100,4,4
1739917236.0074,2025-02-18 14:20:36.007,4,100,1.0,100,4,4
1739917236.5074,2025-02-18 14:20:36.507,4,100,1.0,100,4,4
1739917237.0074,2025-02-18 14:20:37.007,4,100,1.0,100,4,4
1739917237.5074,2025-02-18 14:20:37.507,4,100,1.0,100,4,4
1739917238.0074,2025-02-18 14:20:38.007,4,100,1.0,100,4,4
1739917238.5074,2025-02-18 14:20:38.507,4,100,1.0,100,4,4
1739917239.0074,2025-02-18 14:20:39.007,4,100,1.0,100,4,4
1739917239.5074,2025-02-18 14:20:39.507,4,100,1.0,100,4,4
1739917240.0074,2025-02-18 14:20:40.007,4,100,1.0,100,4,4
1739917240.5074,2025-02-18 14:20:40.507,4,100,1.0,100,4,4
1739917241.0074,2025-02-18 14:20:41.007,4,100,1.0,100,4,4
1739917241.5074,2025-02-18 14:20:41.507,4,100,1.0,100,4,4
1739917242.0074,2025-02-18 14:20:42.007,4,100,1.0,100,4,4
1739917242.5074,2025-02-18 14:20:42.507,4,100,1.0,100,4,4
1739917243.0074,2025-02-18 14:20:43.007,4,100,1.0,100,4,4
1739917243.5074,2025-02-18 14:20:43.507,4,100,1.0,100,4,4
1739917244.0074,2025-02-18 14:20:44.007,4,100,1.0,100,4,4
1739917244.5074,2025-02-18 14:20:44.507,4,100,1.0,100,4,4
1739917245.0074,2025-02-18 14:20:45.007,4,100,1.0,100,4,4
1739917245.5074,2025-02-18 14:20:45.507,4,100,1.0,100,4,4
1739917246.0074,2025-02-18 14:20:46.007,4,100,1.0,100,4,4
1739917246.5074,2025-02-18 14:20:46.507,4,100,1.0,100,4,4
1739917247.0074,2025-02-18 14:20:47.007,4,100,1.0,100,4,4
1739917247.5074,2025-02-18 14:20:47.507,4,100,1.0,100,4,4
1739917248.0074,2025-02-18 14:20:48.007,4,100,1.0,100,4,4
1739917248.5074,2025-02-18 14:20:48.507,4,100,1.0,100,4,4
1739917249.0074,2025-02-18 14:20:49.007,4,100,1.0,100,4,4
1739917249.5074,2025-02-18 14:20:49.507,4,100,1.0,100,4,4
1739917250.0074,2025-02-18 14:20:50.007,4,100,1.0,100,4,4
1739917250.5074,2025-02-18 14:20:50.507,4,100,1.0,100,4,4
1739917251.0074,2025-02-18 14:20:51.007,4,100,1.0,100,4,4
1739917251.5074,2025-02-18 14:20:51.507,4,100,1.0,100,4,4
1739917252.0074,2025-02-18 14:20:52.007,4,100,1.0,100,4,4
1739917252.5074,2025-02-18 14:20:52.507,4,100,1.0,100,4,4
1739917253.0074,2025-02-18 14:20:53.007,4,100,1.0,100,4,4
1739917253.5074,2025-02-18 14:20:53.507,4,100,1.0,100,4,4
1739917254.0074,2025-02-18 14:20:54.007,4,100,1.0,100,4,4
1739917254.5074,2025-02-18 14:20:54.507,4,100,1.0,100,4,4
1739917255.0074,2025-02-18 14:20:55.007,4,100,1.0,100,4,4
1739917255.5074,2025-02-18 14:20:55.507,4,100,1.0,100,4,4
1739917256.0074,2025-02-18 14:20:56.007,4,100,1.0,100,4,4
